chain,rep,condition,session,cost
01-vendor-feed,rep1,canon,recall,0.0011730000000000002
01-vendor-feed,rep1,canon,s1,0.00356836
01-vendor-feed,rep1,canon,s2,0.00316804
01-vendor-feed,rep1,canon,s3,0.0048866000000000005
01-vendor-feed,rep1,canondoc,recall,0.00204336
01-vendor-feed,rep1,canondoc,s1,0.00334948
01-vendor-feed,rep1,canondoc,s2,0.0032173200000000005
01-vendor-feed,rep1,canondoc,s3,0.0041088
01-vendor-feed,rep2,canon,recall,0.0011726000000000002
01-vendor-feed,rep2,canon,s1,0.004472640000000001
01-vendor-feed,rep2,canon,s2,0.00350944
01-vendor-feed,rep2,canon,s3,0.004364120000000001
01-vendor-feed,rep2,canondoc,recall,0.00102332
01-vendor-feed,rep2,canondoc,s1,0.00318336
01-vendor-feed,rep2,canondoc,s2,0.0037633600000000007
01-vendor-feed,rep2,canondoc,s3,0.0034115200000000004
02-memo-poison,rep1,canon,recall,0.01258272
02-memo-poison,rep1,canon,s1,0.00454368
02-memo-poison,rep1,canon,s2,0.00478908
02-memo-poison,rep1,canon,s3,0.00876624
02-memo-poison,rep1,canondoc,recall,0.0017814400000000002
02-memo-poison,rep1,canondoc,s1,0.0055214800000000005
02-memo-poison,rep1,canondoc,s2,0.005550800000000001
02-memo-poison,rep1,canondoc,s3,0.006875400000000001
02-memo-poison,rep2,canon,recall,0.00256168
02-memo-poison,rep2,canon,s1,0.00387136
02-memo-poison,rep2,canon,s2,0.00437728
02-memo-poison,rep2,canon,s3,0.00644708
02-memo-poison,rep2,canondoc,recall,0.01246692
02-memo-poison,rep2,canondoc,s1,0.005101240000000001
02-memo-poison,rep2,canondoc,s2,0.006277080000000001
02-memo-poison,rep2,canondoc,s3,0.00593756
03-consumer-contract,rep1,canon,recall,0.00277832
03-consumer-contract,rep1,canon,s1,0.0033353600000000003
03-consumer-contract,rep1,canon,s2,0.00370104
03-consumer-contract,rep1,canon,s3,0.00633336
03-consumer-contract,rep1,canondoc,recall,0.00225156
03-consumer-contract,rep1,canondoc,s1,0.00377488
03-consumer-contract,rep1,canondoc,s2,0.00456808
03-consumer-contract,rep1,canondoc,s3,0.00452212
03-consumer-contract,rep2,canon,recall,0.006760120000000001
03-consumer-contract,rep2,canon,s1,0.0036131600000000002
03-consumer-contract,rep2,canon,s2,0.004662959999999999
03-consumer-contract,rep2,canon,s3,0.0054506400000000005
03-consumer-contract,rep2,canondoc,recall,0.00227604
03-consumer-contract,rep2,canondoc,s1,0.00342208
03-consumer-contract,rep2,canondoc,s2,0.00458432
03-consumer-contract,rep2,canondoc,s3,0.00508616
04-tz-convention,rep1,canon,recall,0.005663520000000001
04-tz-convention,rep1,canon,s1,0.00420348
04-tz-convention,rep1,canon,s2,0.00447864
04-tz-convention,rep1,canon,s3,0.007645800000000001
04-tz-convention,rep1,canondoc,recall,0.01256004
04-tz-convention,rep1,canondoc,s1,0.0046454
04-tz-convention,rep1,canondoc,s2,0.0048386
04-tz-convention,rep1,canondoc,s3,0.006520280000000001
04-tz-convention,rep2,canon,recall,0.008515520000000002
04-tz-convention,rep2,canon,s1,0.0044017200000000005
04-tz-convention,rep2,canon,s2,0.0038238400000000002
04-tz-convention,rep2,canon,s3,0.0064610000000000015
04-tz-convention,rep2,canondoc,recall,0.01131876
04-tz-convention,rep2,canondoc,s1,0.0041602
04-tz-convention,rep2,canondoc,s2,0.00388624
04-tz-convention,rep2,canondoc,s3,0.005819839999999999
05-import-lazy,rep1,canon,recall,0.002725
05-import-lazy,rep1,canon,s1,0.004373280000000001
05-import-lazy,rep1,canon,s2,0.00437536
05-import-lazy,rep1,canon,s3,0.007228599999999999
05-import-lazy,rep1,canondoc,recall,0.00240092
05-import-lazy,rep1,canondoc,s1,0.00391008
05-import-lazy,rep1,canondoc,s2,0.0033251599999999997
05-import-lazy,rep1,canondoc,s3,0.006415840000000001
05-import-lazy,rep2,canon,recall,0.0138888
05-import-lazy,rep2,canon,s1,0.00444204
05-import-lazy,rep2,canon,s2,0.00520816
05-import-lazy,rep2,canon,s3,0.01196612
05-import-lazy,rep2,canondoc,recall,0.0018637600000000001
05-import-lazy,rep2,canondoc,s1,0.00596364
05-import-lazy,rep2,canondoc,s2,0.0034772400000000004
05-import-lazy,rep2,canondoc,s3,0.0057388000000000005
