chain,rep,condition,session,tokens,output,cost,wallSeconds,toolCalls
01-vendor-feed,rep1,canon,s1,23748,1435,0.00357,33.3,12
01-vendor-feed,rep1,canon,s2,22462,1253,0.00317,32.7,12
01-vendor-feed,rep1,canon,s3,33672,1553,0.00489,40.2,16
01-vendor-feed,rep1,canon,recall,5170,157,0.00117,8.9,2
01-vendor-feed,rep1,canondoc,s1,25290,1591,0.00335,40.5,12
01-vendor-feed,rep1,canondoc,s2,22021,1048,0.00322,31.6,9
01-vendor-feed,rep1,canondoc,s3,32487,1515,0.00411,40.3,14
01-vendor-feed,rep1,canondoc,recall,14781,513,0.00204,17.4,5
01-vendor-feed,rep2,canon,s1,27982,1648,0.00447,54.5,12
01-vendor-feed,rep2,canon,s2,20208,1066,0.00351,26.5,11
01-vendor-feed,rep2,canon,s3,32836,1497,0.00436,40.0,14
01-vendor-feed,rep2,canon,recall,5137,162,0.00117,8.8,2
01-vendor-feed,rep2,canondoc,s1,22219,1243,0.00318,30.1,11
01-vendor-feed,rep2,canondoc,s2,29320,1184,0.00376,31.3,10
01-vendor-feed,rep2,canondoc,s3,23903,1335,0.00341,33.2,11
01-vendor-feed,rep2,canondoc,recall,5775,188,0.00102,10.1,2
02-memo-poison,rep1,canon,s1,32248,1882,0.00454,40.7,12
02-memo-poison,rep1,canon,s2,36164,1685,0.00479,42.3,12
02-memo-poison,rep1,canon,s3,102790,2998,0.00877,70.2,20
02-memo-poison,rep1,canon,recall,62046,516,0.01258,20.4,9
02-memo-poison,rep1,canondoc,s1,44208,1795,0.00552,40.2,11
02-memo-poison,rep1,canondoc,s2,42190,1914,0.00555,44.5,15
02-memo-poison,rep1,canondoc,s3,72356,2339,0.00688,56.9,19
02-memo-poison,rep1,canondoc,recall,12236,420,0.00178,14.4,5
02-memo-poison,rep2,canon,s1,23228,1812,0.00387,35.8,11
02-memo-poison,rep2,canon,s2,33508,1790,0.00438,71.2,14
02-memo-poison,rep2,canon,s3,54236,2101,0.00645,57.5,15
02-memo-poison,rep2,canon,recall,16190,486,0.00256,19.6,7
02-memo-poison,rep2,canondoc,s1,32254,1907,0.0051,38.5,13
02-memo-poison,rep2,canondoc,s2,44323,2050,0.00628,45.9,15
02-memo-poison,rep2,canondoc,s3,58207,2328,0.00594,55.3,17
02-memo-poison,rep2,canondoc,recall,65960,575,0.01247,24.5,8
03-consumer-contract,rep1,canon,s1,24961,1269,0.00334,31.7,13
03-consumer-contract,rep1,canon,s2,26260,1582,0.0037,34.0,11
03-consumer-contract,rep1,canon,s3,45122,2036,0.00633,54.9,13
03-consumer-contract,rep1,canon,recall,19012,786,0.00278,25.3,11
03-consumer-contract,rep1,canondoc,s1,26609,1107,0.00377,28.2,13
03-consumer-contract,rep1,canondoc,s2,33944,1446,0.00457,35.7,12
03-consumer-contract,rep1,canondoc,s3,38373,1474,0.00452,36.5,15
03-consumer-contract,rep1,canondoc,recall,14010,1071,0.00225,23.2,9
03-consumer-contract,rep2,canon,s1,24950,1075,0.00361,26.4,10
03-consumer-contract,rep2,canon,s2,27901,1561,0.00466,36.9,11
03-consumer-contract,rep2,canon,s3,34336,1666,0.00545,42.2,15
03-consumer-contract,rep2,canon,recall,38386,857,0.00676,24.4,13
03-consumer-contract,rep2,canondoc,s1,24949,1139,0.00342,28.8,11
03-consumer-contract,rep2,canondoc,s2,37707,1841,0.00458,41.8,14
03-consumer-contract,rep2,canondoc,s3,31102,1848,0.00509,44.1,12
03-consumer-contract,rep2,canondoc,recall,13620,795,0.00228,19.1,9
04-tz-convention,rep1,canon,s1,35902,1819,0.0042,39.3,16
04-tz-convention,rep1,canon,s2,28367,1535,0.00448,36.6,10
04-tz-convention,rep1,canon,s3,91291,2296,0.00765,48.5,13
04-tz-convention,rep1,canon,recall,29290,616,0.00566,17.9,9
04-tz-convention,rep1,canondoc,s1,41034,1919,0.00465,46.5,17
04-tz-convention,rep1,canondoc,s2,34396,1389,0.00484,37.7,11
04-tz-convention,rep1,canondoc,s3,62552,1939,0.00652,39.3,13
04-tz-convention,rep1,canondoc,recall,67035,762,0.01256,23.1,13
04-tz-convention,rep2,canon,s1,39991,1708,0.0044,37.3,15
04-tz-convention,rep2,canon,s2,27151,1661,0.00382,33.5,11
04-tz-convention,rep2,canon,s3,46059,2282,0.00646,50.8,13
04-tz-convention,rep2,canon,recall,82875,1355,0.00852,30.2,16
04-tz-convention,rep2,canondoc,s1,39540,1735,0.00416,37.7,15
04-tz-convention,rep2,canondoc,s2,31018,2060,0.00389,39.0,9
04-tz-convention,rep2,canondoc,s3,56768,2386,0.00582,63.1,12
04-tz-convention,rep2,canondoc,recall,60565,652,0.01132,20.1,9
05-import-lazy,rep1,canon,s1,25558,1678,0.00437,48.5,14
05-import-lazy,rep1,canon,s2,30056,1800,0.00438,43.1,10
05-import-lazy,rep1,canon,s3,61861,2660,0.00723,58.5,16
05-import-lazy,rep1,canon,recall,15189,670,0.00272,20.8,13
05-import-lazy,rep1,canondoc,s1,26000,1538,0.00391,34.7,13
05-import-lazy,rep1,canondoc,s2,23815,1386,0.00333,33.4,10
05-import-lazy,rep1,canondoc,s3,56510,2730,0.00642,52.9,22
05-import-lazy,rep1,canondoc,recall,19826,691,0.0024,18.7,8
05-import-lazy,rep2,canon,s1,36734,1835,0.00444,41.6,12
05-import-lazy,rep2,canon,s2,28379,1989,0.00521,50.9,10
05-import-lazy,rep2,canon,s3,187937,2182,0.01197,50.3,20
05-import-lazy,rep2,canon,recall,70535,923,0.01389,22.5,12
05-import-lazy,rep2,canondoc,s1,46520,2207,0.00596,55.4,17
05-import-lazy,rep2,canondoc,s2,23298,1407,0.00348,35.3,10
05-import-lazy,rep2,canondoc,s3,56351,2325,0.00574,53.1,17
05-import-lazy,rep2,canondoc,recall,12701,933,0.00186,20.0,5
