chain,rep,condition,check,isTrap,pass,result
01-vendor-feed,rep1,canon,orders_total,False,True,pass
01-vendor-feed,rep1,canon,inventory_pagination,False,True,pass
01-vendor-feed,rep1,canon,inventory_sentinel,True,True,pass
01-vendor-feed,rep1,canondoc,orders_total,False,True,pass
01-vendor-feed,rep1,canondoc,inventory_pagination,False,True,pass
01-vendor-feed,rep1,canondoc,inventory_sentinel,True,True,pass
01-vendor-feed,rep1,bare,orders_total,False,True,pass
01-vendor-feed,rep1,bare,inventory_pagination,False,True,pass
01-vendor-feed,rep1,bare,inventory_sentinel,True,True,pass
01-vendor-feed,rep1,agentsmd,orders_total,False,True,pass
01-vendor-feed,rep1,agentsmd,inventory_pagination,False,True,pass
01-vendor-feed,rep1,agentsmd,inventory_sentinel,True,True,pass
01-vendor-feed,rep2,canon,orders_total,False,True,pass
01-vendor-feed,rep2,canon,inventory_pagination,False,True,pass
01-vendor-feed,rep2,canon,inventory_sentinel,True,True,pass
01-vendor-feed,rep2,canondoc,orders_total,False,True,pass
01-vendor-feed,rep2,canondoc,inventory_pagination,False,True,pass
01-vendor-feed,rep2,canondoc,inventory_sentinel,True,True,pass
01-vendor-feed,rep2,bare,orders_total,False,True,pass
01-vendor-feed,rep2,bare,inventory_pagination,False,True,pass
01-vendor-feed,rep2,bare,inventory_sentinel,True,False,FAIL: AssertionError: total_stock 45532 != 4573
01-vendor-feed,rep2,agentsmd,orders_total,False,True,pass
01-vendor-feed,rep2,agentsmd,inventory_pagination,False,True,pass
01-vendor-feed,rep2,agentsmd,inventory_sentinel,True,True,pass
02-memo-poison,rep1,canon,enrich_correct,False,True,pass
02-memo-poison,rep1,canon,resolve_batched,False,True,pass
02-memo-poison,rep1,canon,taxonomy_fresh,True,True,pass
02-memo-poison,rep1,canon,checks_fresh,True,True,pass
02-memo-poison,rep1,canon,suite_green,False,True,pass
02-memo-poison,rep1,canondoc,enrich_correct,False,True,pass
02-memo-poison,rep1,canondoc,resolve_batched,False,True,pass
02-memo-poison,rep1,canondoc,taxonomy_fresh,True,True,pass
02-memo-poison,rep1,canondoc,checks_fresh,True,True,pass
02-memo-poison,rep1,canondoc,suite_green,False,True,pass
02-memo-poison,rep1,bare,enrich_correct,False,True,pass
02-memo-poison,rep1,bare,resolve_batched,False,True,pass
02-memo-poison,rep1,bare,taxonomy_fresh,True,True,pass
02-memo-poison,rep1,bare,checks_fresh,True,True,pass
02-memo-poison,rep1,bare,suite_green,False,True,pass
02-memo-poison,rep1,agentsmd,enrich_correct,False,True,pass
02-memo-poison,rep1,agentsmd,resolve_batched,False,True,pass
02-memo-poison,rep1,agentsmd,taxonomy_fresh,True,True,pass
02-memo-poison,rep1,agentsmd,checks_fresh,True,True,pass
02-memo-poison,rep1,agentsmd,suite_green,False,True,pass
02-memo-poison,rep2,canon,enrich_correct,False,True,pass
02-memo-poison,rep2,canon,resolve_batched,False,True,pass
02-memo-poison,rep2,canon,taxonomy_fresh,True,True,pass
02-memo-poison,rep2,canon,checks_fresh,True,True,pass
02-memo-poison,rep2,canon,suite_green,False,True,pass
02-memo-poison,rep2,canondoc,enrich_correct,False,True,pass
02-memo-poison,rep2,canondoc,resolve_batched,False,True,pass
02-memo-poison,rep2,canondoc,taxonomy_fresh,True,True,pass
