chain,rep,condition,check,isTrap,pass,result
01-vendor-feed,rep1,canon,orders_total,False,True,pass
01-vendor-feed,rep1,canon,inventory_pagination,False,True,pass
01-vendor-feed,rep1,canon,inventory_sentinel,True,True,pass
01-vendor-feed,rep1,canondoc,orders_total,False,True,pass
01-vendor-feed,rep1,canondoc,inventory_pagination,False,True,pass
01-vendor-feed,rep1,canondoc,inventory_sentinel,True,True,pass
01-vendor-feed,rep1,bare,orders_total,False,True,pass
01-vendor-feed,rep1,bare,inventory_pagination,False,True,pass
01-vendor-feed,rep1,bare,inventory_sentinel,True,False,FAIL: AssertionError: total_stock 45532 != 4573
01-vendor-feed,rep1,agentsmd,orders_total,False,True,pass
01-vendor-feed,rep1,agentsmd,inventory_pagination,False,True,pass
01-vendor-feed,rep1,agentsmd,inventory_sentinel,True,True,pass
01-vendor-feed,rep2,canon,orders_total,False,True,pass
01-vendor-feed,rep2,canon,inventory_pagination,False,True,pass
01-vendor-feed,rep2,canon,inventory_sentinel,True,True,pass
01-vendor-feed,rep2,canondoc,orders_total,False,True,pass
01-vendor-feed,rep2,canondoc,inventory_pagination,False,True,pass
01-vendor-feed,rep2,canondoc,inventory_sentinel,True,True,pass
01-vendor-feed,rep2,bare,orders_total,False,True,pass
01-vendor-feed,rep2,bare,inventory_pagination,False,True,pass
01-vendor-feed,rep2,bare,inventory_sentinel,True,False,FAIL: AssertionError: total_stock 45532 != 4573
01-vendor-feed,rep2,agentsmd,orders_total,False,True,pass
01-vendor-feed,rep2,agentsmd,inventory_pagination,False,True,pass
01-vendor-feed,rep2,agentsmd,inventory_sentinel,True,True,pass
01-vendor-feed,rep3,canon,orders_total,False,True,pass
01-vendor-feed,rep3,canon,inventory_pagination,False,True,pass
01-vendor-feed,rep3,canon,inventory_sentinel,True,True,pass
01-vendor-feed,rep3,canondoc,orders_total,False,True,pass
01-vendor-feed,rep3,canondoc,inventory_pagination,False,True,pass
01-vendor-feed,rep3,canondoc,inventory_sentinel,True,True,pass
01-vendor-feed,rep3,bare,orders_total,False,True,pass
01-vendor-feed,rep3,bare,inventory_pagination,False,True,pass
01-vendor-feed,rep3,bare,inventory_sentinel,True,True,pass
01-vendor-feed,rep3,agentsmd,orders_total,False,True,pass
01-vendor-feed,rep3,agentsmd,inventory_pagination,False,True,pass
01-vendor-feed,rep3,agentsmd,inventory_sentinel,True,True,pass
01-vendor-feed,rep4,canon,orders_total,False,True,pass
01-vendor-feed,rep4,canon,inventory_pagination,False,True,pass
01-vendor-feed,rep4,canon,inventory_sentinel,True,True,pass
01-vendor-feed,rep4,canondoc,orders_total,False,True,pass
01-vendor-feed,rep4,canondoc,inventory_pagination,False,True,pass
01-vendor-feed,rep4,canondoc,inventory_sentinel,True,True,pass
01-vendor-feed,rep4,bare,orders_total,False,True,pass
01-vendor-feed,rep4,bare,inventory_pagination,False,True,pass
01-vendor-feed,rep4,bare,inventory_sentinel,True,True,pass
01-vendor-feed,rep4,agentsmd,orders_total,False,True,pass
01-vendor-feed,rep4,agentsmd,inventory_pagination,False,True,pass
01-vendor-feed,rep4,agentsmd,inventory_sentinel,True,True,pass
01-vendor-feed,rep5,canon,orders_total,False,True,pass
01-vendor-feed,rep5,canon,inventory_pagination,False,True,pass
